appreciate	감사하다
available	이용 가능한
switch	전환
discount	할인
current	현재의
subscription	구독료
access	이용하다, 접근하다; 이용, 접근
via	~을 통해
selection	선택, 선정
article	기사
beat	(심장이) 뛰다, 박동하다
rapidly	빠르게
apply to	~ ~에 지원하다
grade	성적, 학점
application letter	지원서
tear	찢다
envelope	봉투
emerge	드러내다, 나오다
opening phrase	첫 구절
fantasy	공상, 상상
negative	부정적인
destructive	파괴적인
psychologist	심리학자
disorderly	무질서한, 어수선한
indicate	나타내다
disorganized	정리되지 않은, 혼란스러운
mental	마음의
state	상태
tidy	정리하다, 정돈하다
expert	전문가
perspective	관점
surroundings	주변
positive	긍정적인
atmosphere	분위기
efficiently	효율적으로
arrange	정리하다, 배열하다
force	강요하다
environment	환경
achieve	이루다, 성취하다
nutrient	양분, 영양분
fertilizer	비료
efficient	효율적인
supply	공급하다
usage	사용량
triple	3배가 되다
capacity	능력
luxurious	호화로운
condition	상황, 환경
excite	~을 불러일으키다
attention	관심
agricultural	농업의
desire	바라다, 원하다
real estate	부동산
weed	잡초
monoculture	단일 작물 재배
help out	도와주다
notice	알아차리다
social	사교적인
attention	관심
forget	잊다
ignore	무시하다
pass by	지나가다
route	길
strength	힘
compete	경쟁하다
improve	향상시키다
achieve mastery	숙달하다
prosperity	번영
highly	매우
athlete	운동선수
equipment	장비
face	직면하다
hardship	고난
preparation	준비
mental	정신적인
mindset	마음가짐
strategy	전략
struggle	투쟁
resistance	저항
behavior	행동
identity	정체성
indication	표시, 조짐, 나타남
consciously	의식적으로
nonconsciously	무의식적으로
particular	특정한
aspect	측면
belief	믿음
voter	투표자, 유권자
vote	투표하다
simply	단순히, 단지
claim	주장하다
perform	수행하다
convince	설득하다
perfectly	완벽하게
match	일치하다
pursue	추구하다
electronic waste	전자 폐기물
collection	수거, 수집
rate	비율
respectively	각각
remain	계속 ~인 상태이다
astrophysicist	천체 물리학자
coin	(새로운 단어를) 만들다
term	용어
supernova	초신성
childhood	어린 시절
advanced	고급의
mathematics	수학
physics	물리학
emigrate	이주하다
numerous	수많은
theory	이론
profound	심오한, 깊은, 엄청난
influence	영향
astronomy	천문학
patent	특허
propulsion	추진, 추진력
gourmet	미식가의, 미식가를 위한
competition	대회
recipe	조리법, 요리법
registration	등록, 신청
souvenir	기념품
location	장소
detail	세부 사항
participant	참가자
provide	~을 제공하다
hunger	-
describe	묘사하다, 서술하다
examination	조사
suggest	~을 나타내다
abundant	풍부한
obtainable	획득할 수 있는
excessive	과도한
permanent	영구적인
agriculture	농업
domesticate	(동물을) 길들이다, 사육하다
immediate	즉각적인
effect	영향
development	발달
settlement	정착지
undoubtedly	의심의 여지없이
population density	인구 밀도
period	시기
eventually	결국
civilization	문명
remains	유적, 유해
epidemic	전염병의
commodity	물건
consumption	소비
behavior	행동
reveal	드러내다, 밝히다
preference	선호
delayed	지연된
immediate	즉각적인
agent	행위자
pleasure	즐거움
discounted	하락된
non	-
value	가치
present	현재의, 선물
occasion	경우, 일
prematurely	조기에, 너무 이르게
instead	대신에
weakness	약함
will	의지
resolve	결심하다
differently	다르게
temptation	유혹
envision	계획하다
cost	대가
interruption	방해
describe	묘사하다
literary	문학의
unexpected	뜻밖의
by coincidence	우연히
untimely	부적절한 때의
particularly	특히
inspiration	영감
unfinished	미완의
disruption	방해
significant	중대한
professional	전문가
critical	중요한
control room	통제실
operator	운영자
stock	주식
trader	거래자
productivity	생산성
generally	일반적으로
level	수준
lament	슬퍼하다
scientific	과학적인
evidence	증거
